Source:,C:\Users\mazze\Documents\KiCad\Projekte\Looping Louie\Louie_for_Pico\Louie_for_Pico\Louie_for_Pico.kicad_sch,,,,,
,,,,,,
Date:,13.10.2022 09:55:17,,,,,
,,,,,,
Tool:,Eeschema (6.0.4),,,,,
,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
,,,,,,
Component Count:,20,,,,,
,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"Brd1, ",1,SSD1306,SSD1306,SSD1306:SSD1306-0.91-OLED-4pin-128x32,SSD1306 OLED,
,,,,,,
"C1, C2, ",2,1u,C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Unpolarized capacitor,
,,,,,,
"D1, ",1,1N5819,1N5819,Diode_SMD:D_SOD-123F,"40V 1A Schottky Barrier Rectifier Diode, DO-41",
,,,,,,
"IC1, ",1,"TB67H451AFNG,EL","TB67H451AFNG,EL",Samacsys:SOIC127P600X170-9N,Motor/Motion/Ignition Controllers & Drivers 50V/3A BRUSHED MOTOR DRIVER,
,,,,,,
"J1, ",1,Conn_01x03,Conn_01x03,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"L1, ",1,10u,L,Inductor_SMD:L_Taiyo-Yuden_NR-40xx_HandSoldering,Inductor,
,,,,,,
"M1, ",1,~,Motor_DC,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,DC Motor,
,,,,,,
"R1, ",1,31600,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,
,,,,,,
"R2, ",1,5100,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,
,,,,,,
"R3, ",1,10k,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,
,,,,,,
"R13, R14, ",2,5k,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,
,,,,,,
"SW2, SW3, SW4, SW5, ",4,SW_Push,SW_Push,Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx,"Push button switch, generic, two pins",
,,,,,,
"U1, ",1,AP3012,AP3012,Package_TO_SOT_SMD:SOT-23-5,"500mA, Adjustable Step-Up Voltage Regulator, 1.5MHz Frequency, SOT-23-5",
,,,,,,
"U2, ",1,Pico,Pico,Pi Pico:RPi_Pico_SMD_TH,,
,,,,,,
"U3, ",1,EC12D1564402,EC12D1564402,Samacsys:EC12D1564402,"ALPS - EC12D1564402 - ENCODER, VERTICAL, 12MM, 30DET,15PPR",
